,name,grape,product rating,number ratings,product type,country of origin,price,bold_value,tannic value,sweet_value,acidic_value,food_pairing
0,Fico Susumaniello,Susumaniello,4.8,27 ratings,Red wine,Italy,€24.90,75.8029%,36.3297%,31.3312%,24.9804%,Beef
1,60 Sessantanni Old Vines Primitivo di Manduria,Primitivo,4.5,15957 ratings,Red wine,Italy,€22.90,69.663%,22.9146%,46.7775%,12.1954%,Beef
2,Limited Edition 10 Vendemmie,Montepulciano,4.5,8892 ratings,Red wine,Italy,€24.30,50.6136%,36.753%,19.4152%,59.7082%,Beef
3,Fanova Riserva,Primitivo,4.5,135 ratings,Red wine,Italy,€17.40,79.3122%,38.7329%,30.1212%,31.5391%,Beef
4,Amarone della Valpolicella Classico,Blend,4.5,57 ratings,Red wine,Italy,€27.70,,,,,Beef
5,Guerriero della Terra,Blend,4.5,41 ratings,Red wine,Italy,€24.90,59.5447%,34.6501%,39.1743%,39.3046%,Beef
6,Nizza DOCG,Barbera,4.5,33 ratings,Red wine,Italy,€20,63.1152%,32.4413%,2.22174%,43.1739%,Beef
7,Lucretia Chianti Classico Riserva,Sangiovese,4.5,33 ratings,Red wine,Italy,€26,52.5077%,69.8093%,3.2835%,67.7371%,Beef
8,Primitivo Salento,Primitivo,4.4,2307 ratings,Red wine,Italy,€18.40,68.2177%,21.1277%,47.6472%,9.69191%,Beef
9,Guerriero della Terra,Blend,4.4,1421 ratings,Red wine,Italy,€24.95,59.5447%,34.6501%,39.1743%,39.3046%,Beef
10,Papale Linea Oro Primitivo di Manduria,Primitivo,4.4,1284 ratings,Red wine,Italy,€22.97,68.0155%,22.1586%,43.9273%,12.2711%,Beef
11,60 Sessantanni Old Vines Primitivo di Manduria,Primitivo,4.4,873 ratings,Red wine,Italy,€23.65,69.663%,22.9146%,46.7775%,12.1954%,Beef
12,60 Sessantanni Limited Edition Old Vines Primitivo di Manduria,Primitivo,4.4,445 ratings,Red wine,Italy,€27.30,69.4106%,19.7336%,45.9759%,11.1998%,Beef
13,Liala Negroamaro,Negroamaro,4.4,249 ratings,Red wine,Italy,€23.86,82.4346%,30.3049%,40.8946%,26.0213%,Beef
14,Cavolo Amarone della Valpolicella,Blend,4.4,238 ratings,Red wine,Italy,€29.89,80.3493%,24.82%,45.7862%,29.1761%,Beef
15,Primitivo di Manduria,Primitivo,4.4,221 ratings,Red wine,Italy,€29.90,72.0229%,25.4231%,45.3349%,12.2387%,Beef
16,Il Bacca Old Vine Primitivo di Manduria,Primitivo,4.4,172 ratings,Red wine,Italy,€26.90,68.7786%,26.5763%,43.1435%,13.4977%,Beef
17,Valpolicella Ripasso Classico Superiore,Blend,4.4,155 ratings,Red wine,Italy,€18.90,66.9617%,38.5803%,33.5744%,26.9165%,Beef
18,Amarone della Valpolicella,Blend,4.4,145 ratings,Red wine,Italy,€22,,,,,Beef
19,Paradoxe,Blend,4.4,126 ratings,Red wine,France,€29.90,70.215%,51.281%,16.1654%,56.0027%,Beef
20,L'Invidio Bolgheri Rosso,Blend,4.4,114 ratings,Red wine,Italy,€17.84,60.1444%,54.468%,9.33844%,46.36%,Beef
21,Vrucara Nero d'Avola,Nero d'Avola,4.4,94 ratings,Red wine,Italy,€29.99,,,,,Beef
22,Saracena Primitivo,Primitivo,4.4,92 ratings,Red wine,Italy,€12.20,69.0389%,21.306%,44.0903%,11.5374%,Beef
23,Mirea Primitivo di Manduria,Primitivo,4.4,85 ratings,Red wine,Italy,€19.20,75.7944%,23.1862%,46.0661%,11.5096%,Beef
24,I Colli Chianti Classico Riserva,Sangiovese,4.4,76 ratings,Red wine,Italy,€25.89,46.9102%,59.2303%,8.41216%,60.5772%,Beef
25,Lodolaio Chianti Classico Riserva,Sangiovese,4.4,63 ratings,Red wine,Italy,€27.90,51.3399%,56.0718%,2.45419%,64.1281%,Beef
26,Ventoux Silica,Blend,4.4,39 ratings,Red wine,France,€28.80,66.6473%,55.7554%,17.1575%,53.7446%,Beef
27,Taurasi,Aglianico,4.4,29 ratings,Red wine,Italy,€24.90,,,,,Beef
28,Nauna Primitivo - Negroamaro,Blend,4.4,29 ratings,Red wine,Italy,€18.20,84.5756%,42.3456%,32.0935%,26.7716%,Beef
29,Iroso,Blend,4.4,28 ratings,Red wine,Italy,€26.50,50.5798%,34.0946%,2.34496%,37.0114%,Beef
30,Brunello di Montalcino,Sangiovese,4.4,25 ratings,Red wine,Italy,€26.90,47.3318%,61.6828%,,,Beef
31,Edizione Cinque Autoctoni,Sangiovese,4.3,63679 ratings,Red wine,Italy,€23.99,70.9731%,38.254%,30.4642%,31.5104%,Beef
32,Cinquanta Collezione,Negroamaro,4.3,36354 ratings,Red wine,Italy,€18.30,,,,,Beef
33,F Negroamaro,Negroamaro,4.3,1627 ratings,Red wine,Italy,€22.40,,,,,Beef
34,Amaranta Montepulciano d'Abruzzo,Montepulciano,4.3,1270 ratings,Red wine,Italy,€16.70,44.2605%,38.0908%,15.1877%,61.08%,Beef
35,Villa Donoratico Bolgheri,Blend,4.3,1206 ratings,Red wine,Italy,€28.90,66.296%,67.3818%,10.5871%,54.2465%,Beef
36,Cubardi Primitivo,Primitivo,4.3,790 ratings,Red wine,Italy,€15.29,70.0622%,24.7168%,40.9466%,16.0506%,Beef
37,Elena La Luna Barbera d'Alba,Barbera,4.3,709 ratings,Red wine,Italy,€19.90,62.434%,20.7051%,18.7754%,59.5645%,Beef
38,Gran Reserva,Malbec,4.3,653 ratings,Red wine,Argentina,€26.10,,,,,Beef
39,Harmonium Nero d'Avola,Nero d'Avola,4.3,632 ratings,Red wine,Italy,€27.50,83.9091%,44.8476%,28.109%,29.0225%,Beef
40,Amarone della Valpolicella Classico,Blend,4.3,566 ratings,Red wine,Italy,€23.90,,,,,Beef
41,62 Anniversario Primitivo di Manduria Riserva,Primitivo,4.3,562 ratings,Red wine,Italy,€27.20,69.8162%,21.1846%,44.7865%,11.1896%,Beef
42,Stilio Primitivo di Manduria,Primitivo,4.3,558 ratings,Red wine,Italy,€11.50,70.0308%,21.6412%,45.8288%,13.204%,Beef
43,La Groletta Amarone della Valpolicella,Blend,4.3,511 ratings,Red wine,Italy,€27.95,82.4305%,26.5422%,47.4486%,25.8193%,Beef
44,8 Limited Edition,Montepulciano,4.3,396 ratings,Red wine,Italy,€24.40,66.0248%,43.9257%,11.2723%,37.5099%,Beef
45,Eremo San Quirico Gold,Aglianico,4.3,391 ratings,Red wine,Italy,€18.95,84.5764%,36.89%,40.694%,22.8539%,Beef
46,Amarone della Valpolicella Classico Lena di Mezzo,Blend,4.3,381 ratings,Red wine,Italy,€27.90,,,,,Beef
47,Pecoranera Rosso,Nero di Troia,4.3,380 ratings,Red wine,Italy,€11.90,77.7367%,31.5385%,47.8988%,26.4048%,Beef
48,Paralupi Appassimento,Blend,4.3,341 ratings,Red wine,Italy,€12.90,,,,,Beef
49,Amarone della Valpolicella Classico,Corvina,4.3,329 ratings,Red wine,Italy,€26,84.8999%,26.0792%,44.3067%,26.3776%,Beef
50,Antièri Susumaniello,Susumaniello,4.3,318 ratings,Red wine,Italy,€16.40,80.5437%,38.5272%,39.5557%,30.7997%,Beef
51,Gocce Primitivo di Manduria,Primitivo,4.3,302 ratings,Red wine,Italy,€29.75,67.2456%,22.4184%,50.5186%,11.3384%,Beef
52,Visellio Primitivo,Primitivo,4.3,287 ratings,Red wine,Italy,€24.99,68.7614%,25.1765%,42.8458%,13.3965%,Beef
53,Primitivo di Manduria Riserva,Primitivo,4.3,279 ratings,Red wine,Italy,€11.99,69.6118%,20.7974%,44.1206%,17.5456%,Beef
54,Primitivo,Primitivo,4.3,269 ratings,Red wine,Italy,€14.19,67.3913%,22.4108%,43.6897%,16.479%,Beef
55,17 Primitivo Gioia del Colle,Primitivo,4.3,253 ratings,Red wine,Italy,€29.90,70.2069%,24.9263%,39.9504%,15.0855%,Beef
56,Cosimo Varvaglione Collezione Privata Negroamaro del Salento,Negroamaro,4.3,245 ratings,Red wine,Italy,€29.80,76.7037%,36.9437%,29.2564%,32.1497%,Beef
57,Sonetto Primitivo di Manduria Riserva,Primitivo,4.3,232 ratings,Red wine,Italy,€29.50,67.2201%,27.534%,39.724%,13.5343%,Beef
58,Alchymia Primitivo,Primitivo,4.3,232 ratings,Red wine,Italy,€12.70,67.3408%,20.8559%,46.7771%,12.3789%,Beef
59,Susu' Susumaniello,Susumaniello,4.3,220 ratings,Red wine,Italy,€11.40,76.705%,32.2948%,43.7405%,20.4377%,Beef
60,Elegia Primitivo di Manduria Riserva,Primitivo,4.3,216 ratings,Red wine,Italy,€15.90,67.8678%,26.7458%,46.2798%,15.4155%,Beef
61,San Giorgio Amarone della Valpolicella,Blend,4.3,176 ratings,Red wine,Italy,€19.99,,,,,Beef
62,Borgo dei Guidi Sangiovese - Cabernet Sauvignon,Blend,4.3,160 ratings,Red wine,Italy,€19.90,65.2195%,40.8662%,26.1229%,,Beef
63,Ilmorante Primitivo di Manduria,Primitivo,4.3,155 ratings,Red wine,Italy,€17,74.5738%,22.7912%,51.925%,11.1669%,Beef
64,Altemura Primitivo di Manduria,Primitivo,4.3,154 ratings,Red wine,Italy,€20.70,67.5797%,28.3509%,39.8101%,19.1283%,Beef
65,L’Arringatore,Blend,4.3,153 ratings,Red wine,Italy,€26.50,55.2245%,45.6655%,6.81133%,50.3032%,Beef
66,Toppicello Nero di Troia,Nero di Troia,4.3,129 ratings,Red wine,Italy,€20.90,,,,,Beef
67,Amarone della Valpolicella Classico Riserva,Blend,4.3,129 ratings,Red wine,Italy,€29.99,71.1875%,28.6719%,43.0156%,34.3438%,Beef
68,Gelso d'Oro Nero di Troia,Nero di Troia,4.3,108 ratings,Red wine,Italy,€20.95,84.4944%,37.2695%,36.7208%,24.8084%,Beef
69,Synthesis Malbec,Malbec,4.3,107 ratings,Red wine,Argentina,€29.10,64.5926%,32.9107%,18.3315%,37.0825%,Beef
70,Nauna Primitivo - Negroamaro,Blend,4.3,105 ratings,Red wine,Italy,€18.30,84.5756%,42.3456%,32.0935%,26.7716%,Beef
71,Amarone della Valpolicella,Blend,4.3,103 ratings,Red wine,Italy,€26.90,84.4986%,21.0632%,46.9949%,21.6672%,Beef
72,Canace Nero di Troia,Nero di Troia,4.3,101 ratings,Red wine,Italy,€13.60,84.3022%,38.9155%,40.1889%,23.6558%,Beef
73,Amarone della Valpolicella,Blend,4.3,99 ratings,Red wine,Italy,€24.95,83.9818%,29.809%,46.1759%,31.4133%,Beef
74,Amarone della Valpolicella Classico,Blend,4.3,99 ratings,Red wine,Italy,€30,,,,,Beef
75,Phi 20 Anni,Blend,4.3,96 ratings,Red wine,Italy,€26.80,63.3639%,43.1041%,17.949%,20.7592%,Beef
76,Bicento,Aglianico,4.3,95 ratings,Red wine,Italy,€19.95,84.4002%,37.3451%,38.3584%,24.0577%,Beef
77,17 Primitivo Gioia del Colle,Primitivo,4.3,94 ratings,Red wine,Italy,€20.90,70.2069%,24.9263%,39.9504%,15.0855%,Beef
78,Casale Ciliani Malvasia - Primitivo,Blend,4.3,91 ratings,Red wine,Italy,€12.47,81.2967%,42.5%,35.2199%,23.1795%,Beef
79,Primitivo,Primitivo,4.3,86 ratings,Red wine,Italy,€14.50,67.3706%,21.7524%,44.7362%,12.6561%,Beef
80,L'Andrea,Sangiovese,4.3,83 ratings,Red wine,Italy,€24,59.0912%,45.9726%,7.0463%,40.5704%,Beef
81,Rosso 17°,Primitivo,4.3,79 ratings,Red wine,Italy,€22.90,74.0469%,22.0566%,39.2864%,17.0785%,Beef
82,Rovente Morellino di Scansano,Sangiovese,4.3,78 ratings,Red wine,Italy,€25.99,59.3137%,44.1636%,15.9735%,40.3216%,Beef
83,El Cencio Rosso Verona,Blend,4.3,78 ratings,Red wine,Italy,€27.20,65.7488%,41.4167%,20.5263%,27.6636%,Beef
84,Época Rdeće Rosso,Blend,4.3,74 ratings,Red wine,Slovenia,€26.30,,,,,Beef
85,Lagrein Riserva,Lagrein,4.3,72 ratings,Red wine,Italy,€29.40,64.6014%,43.0971%,19.0659%,32.609%,Beef
86,Robbione,Vernaccia,4.3,71 ratings,Red wine,Italy,€27.50,61.9815%,42.9835%,16.7153%,45.0844%,Beef
87,16 Primitivo Gioia del Colle,Primitivo,4.3,66 ratings,Red wine,Italy,€21.70,68.7155%,24.5739%,40.1352%,17.2087%,Beef
88,Don Luigi Riserva,Blend,4.3,65 ratings,Red wine,Italy,€29.50,84.2465%,48.2917%,29.1152%,30.4572%,Beef
89,Santufili Primitivo,Primitivo,4.3,64 ratings,Red wine,Italy,€21.80,66.621%,21.9965%,44.9727%,14.024%,Beef
90,Il Ritardatario Primitivo di Manduria Dolce Naturale,Primitivo,4.3,62 ratings,Red wine,Italy,€19.95,69.8327%,16.8243%,56.868%,6.2119%,Beef
91,Teroldego,Teroldego,4.3,59 ratings,Red wine,Italy,€27.50,67.8164%,40.078%,21.6105%,27.7751%,Beef
92,Cubardi Primitivo,Primitivo,4.3,59 ratings,Red wine,Italy,€14.80,70.0622%,24.7168%,40.9466%,16.0506%,Beef
93,Le Grive,Blend,4.3,58 ratings,Red wine,Italy,€22.90,67.0782%,38.2887%,18.6699%,28.7266%,Beef
94,Symbol Primitivo,Primitivo,4.3,57 ratings,Red wine,Italy,€25.90,66.1775%,29.2681%,39.1208%,13.9118%,Beef
95,Montefalco Sagrantino,Sagrantino,4.3,56 ratings,Red wine,Italy,€22.20,57.4796%,50.76%,10.9822%,47.3912%,Beef
96,Aragone Maremma Toscana,Blend,4.3,51 ratings,Red wine,Italy,€19.22,52.6889%,43.5001%,7.32319%,45.9704%,Beef
97,Torre a Destra Riserva Chianti Classico,Sangiovese,4.3,50 ratings,Red wine,Italy,€29.10,48.5691%,56.6024%,8.45649%,61.3662%,Beef
98,Lu Patri Nero d'Avola,Nero d'Avola,4.3,48 ratings,Red wine,Italy,€23.80,77.358%,40.1807%,24.319%,32.3105%,Beef
99,Shiraz - Mourvedre - Viognier,Blend,4.3,43 ratings,Red wine,South Africa,€15.55,,,,,Beef
100,Ad Hoc Primitivo di Manduria,Primitivo,4.3,42 ratings,Red wine,Italy,€13.90,64.9378%,25.2807%,49.7477%,17.6507%,Beef
101,Rosone,Negroamaro,4.3,42 ratings,Red wine,Italy,€12.14,77.1772%,34.4767%,41.0449%,24.9069%,Beef
102,Amarone della Valpolicella,Blend,4.3,40 ratings,Red wine,Italy,€24.99,,,,,Beef
103,Primo Morellino di Scansano Riserva,Blend,4.3,39 ratings,Red wine,Italy,€29.80,53.1324%,54.9256%,,,Beef
104,Syrah di Macellarotto,Shiraz/Syrah,4.3,37 ratings,Red wine,Italy,€25.20,83.3254%,48.623%,28.5426%,27.4205%,Beef
105,Petraro,Blend,4.3,37 ratings,Red wine,Italy,€27.90,,,,,Beef
106,Lui Nero di Troia,Nero di Troia,4.3,36 ratings,Red wine,Italy,€25.90,,,,,Beef
107,Cuvée Georges Meunier Saint-Émilion Grand Cru,Blend,4.3,36 ratings,Red wine,France,€22.49,73.9399%,64.2274%,2.41537%,56.7087%,Beef
108,Montefalco Sagrantino,Sagrantino,4.3,35 ratings,Red wine,Italy,€25,55.7636%,42.557%,12.9039%,35.6597%,Beef
109,Il Nito,Blend,4.3,34 ratings,Red wine,Italy,€20,66.076%,46.051%,30.606%,22.352%,Beef
110,Il Vescovo,Blend,4.3,34 ratings,Red wine,Italy,€20,81.6631%,43.2433%,39.2446%,30.7867%,Beef
111,Loggia del Sole Governo All'Uso Toscana,Sangiovese,4.3,34 ratings,Red wine,Italy,€7,49.5118%,38.3422%,17.7344%,46.0569%,Beef
112,Cento Su Cento Primitivo,Primitivo,4.3,32 ratings,Red wine,Italy,€27.90,68.3202%,24.4202%,47.6146%,13.8887%,Beef
113,Cinco Elementos Essentia,Tempranillo,4.3,31 ratings,Red wine,Spain,€17.99,65.1742%,54.3492%,11.5529%,57.5013%,Beef
114,Vespa Rosso,Merlot,4.3,29 ratings,Red wine,Italy,€26.40,66.2472%,40.2631%,20.706%,31.3408%,Beef
115,Moscheta Nera Amarone della Valpolicella,Blend,4.3,29 ratings,Red wine,Italy,€21.36,72.8206%,25.0199%,40.6412%,35.804%,Beef
116,Barbera d'Alba,Barbera,4.3,26 ratings,Red wine,Italy,€17.90,58.3189%,16.5866%,,,Beef
117,Cinco Elementos,Tempranillo,4.3,25 ratings,Red wine,Spain,€11.99,59.039%,54.1143%,14.3656%,56.8608%,Beef
118,Merlot Drago Rosso,Merlot,4.3,25 ratings,Red wine,Italy,€10.90,,,,,Beef
119,Mucho Más Tinto,Blend,4.2,48213 ratings,Red wine,Spain,€8.99,63.0038%,38.2536%,33.2158%,33.2578%,Beef
120,Ripassa Valpolicella Ripasso Superiore,Blend,4.2,10056 ratings,Red wine,Italy,€15.49,67.0481%,35.085%,29.2163%,22.7188%,Beef
121,Ripassa Valpolicella Ripasso Superiore,Rondinella,4.2,5805 ratings,Red wine,Italy,€17.50,67.0481%,35.085%,29.2163%,22.7188%,Beef
122,Ribera del Duero,Tempranillo,4.2,5724 ratings,Red wine,Spain,€21.70,64.9991%,54.5192%,10.6866%,60.595%,Beef
123,The Chocolate Block,Blend,4.2,4368 ratings,Red wine,South Africa,€23.99,,,,,Beef
124,Masserie Primitivo,Primitivo,4.2,3886 ratings,Red wine,Italy,€12.90,62.6699%,25.4251%,45.2473%,19.4306%,Beef
125,José Malbec,Malbec,4.2,2196 ratings,Red wine,Argentina,€29.90,66.7411%,39.3201%,15.6124%,39.2497%,Beef
126,Ca' de' Rocchi Valpolicella Ripasso Superiore Monterè,Blend,4.2,2058 ratings,Red wine,Italy,€15.39,66.8818%,34.7561%,30.2311%,22.4041%,Beef
127,Malbec (I),Malbec,4.2,1912 ratings,Red wine,Argentina,€24.80,62.5115%,32.6734%,18.3917%,34.4592%,Beef
128,Classique,Blend,4.2,1873 ratings,Red wine,South Africa,€27.10,64.7905%,49.2464%,7.556%,60.1267%,Beef
129,Lu Rappaio Primitivo di Manduria,Primitivo,4.2,1694 ratings,Red wine,Italy,€12.90,67.7214%,23.1185%,44.4511%,14.6226%,Beef
130,La Casetta Valpolicella Ripasso Classico Superiore,Blend,4.2,1664 ratings,Red wine,Italy,€13.94,66.6491%,36.3403%,31.525%,22.9511%,Beef
131,Cabernet - Malbec,Blend,4.2,1483 ratings,Red wine,Argentina,€23.50,71.2937%,45.9182%,14.5913%,42.4353%,Beef
132,Vino Nobile di Montepulciano,Blend,4.2,1311 ratings,Red wine,Italy,€24,54.7143%,57.0804%,5.88582%,64.5915%,Beef
133,Cedro do Noval,Blend,4.2,1247 ratings,Red wine,Portugal,€24.96,74.4362%,53.2223%,10.9323%,44.3816%,Beef
134,Amarone della Valpolicella,Blend,4.2,1180 ratings,Red wine,Italy,€26.90,,,,,Beef
135,Montepulciano d'Abruzzo Riserva,Montepulciano,4.2,1166 ratings,Red wine,Italy,€23.80,42.7306%,45.3994%,6.6915%,65.3746%,Beef
136,Feudo Croce Imperio LXXIV Primitivo di Manduria,Primitivo,4.2,1146 ratings,Red wine,Italy,€20.70,69.6235%,24.2827%,40.8744%,12.9245%,Beef
137,Piano Chiuso Riserva Primitivo di Manduria,Primitivo,4.2,975 ratings,Red wine,Italy,€24.20,74.2312%,33.3548%,40.1037%,20.9578%,Beef
138,Susumaniello,Susumaniello,4.2,904 ratings,Red wine,Italy,€11.30,83.6474%,35.814%,40.3253%,22.3489%,Beef
139,Appassimento,Blend,4.2,895 ratings,Red wine,Italy,€8.90,73.0003%,27.4616%,47.5646%,18.8343%,Beef
140,Montepulciano d'Abruzzo (Unico),Montepulciano,4.2,857 ratings,Red wine,Italy,€10,42.209%,39.474%,10.1553%,61.0113%,Beef
141,Carapace Montefalco Sagrantino,Sagrantino,4.1,839 ratings,Red wine,Italy,€25.90,60.4445%,56.8342%,5.42688%,47.431%,Beef
142,Valpolicella Ripasso Superiore,Blend,4.2,740 ratings,Red wine,Italy,€23,66.3285%,39.0771%,33.5913%,24.075%,Beef
143,Brunello di Montalcino,Sangiovese,4.2,717 ratings,Red wine,Italy,€26.90,46.0837%,54.7271%,4.38097%,63.6243%,Beef
144,Passo del Cardinale Primitivo di Manduria,Primitivo,4.2,708 ratings,Red wine,Italy,€10.50,66.5998%,25.2242%,40.335%,19.5742%,Beef
145,Riserva Ducale Oro Chianti Classico (Gran Selezione Gold),Sangiovese,4.2,683 ratings,Red wine,Italy,€23.50,48.1019%,54.5522%,3.55564%,64.7421%,Beef
146,Li Filitti Riserva Primitivo di Manduria,Primitivo,4.2,678 ratings,Red wine,Italy,€13.70,68.8189%,26.4684%,43.8857%,16.4003%,Beef
147,Il Frappato Sicilia,Frappato,4.2,659 ratings,Red wine,Italy,€28.95,70.257%,42.6229%,22.6422%,37.6449%,Beef
148,Blu Onice Aglianico Irpinia,Aglianico,4.2,631 ratings,Red wine,Italy,€14.90,,,,,Beef
149,Amarone della Valpolicella Valpantena,Blend,4.2,612 ratings,Red wine,Italy,€29.90,,,,,Beef
150,Valpolicella Ripasso Superiore,Blend,4.2,585 ratings,Red wine,Italy,€18.20,65.8843%,39.1157%,27.375%,24.4001%,Beef
151,Douro Manoella Tinto,Touriga Nacional,4.2,578 ratings,Red wine,Portugal,€21.30,71.7367%,52.8367%,10.1277%,44.9849%,Beef
152,Areni - Khndoghni,Blend,4.2,571 ratings,Red wine,Armenia,€25.40,,,,,Beef
153,Saint-Émilion Grand Cru (Grand Cru Classé),Blend,4.2,564 ratings,Red wine,France,€28.70,72.6628%,57.7682%,7.28013%,51.9717%,Beef
154,Amarone della Valpolicella Classico,Corvina,4.2,553 ratings,Red wine,Italy,€29.90,,,,,Beef
155,Nerìo Riserva Negroamaro - Malvasia Nera,Blend,4.2,545 ratings,Red wine,Italy,€12.95,83.6269%,40.6012%,34.2918%,27.4084%,Beef
156,Arcanum Il Fauno di Arcanum,Blend,4.2,530 ratings,Red wine,Italy,€26.50,51.8548%,41.4307%,4.59642%,45.2309%,Beef
157,Fanova Primitivo,Primitivo,4.2,503 ratings,Red wine,Italy,€25,67.5727%,25.0683%,36.9433%,12.9654%,Beef
158,I Bricchi Barbera d'Asti,Barbera,4.2,501 ratings,Red wine,Italy,€22.80,50.8594%,25.2386%,7.00229%,64.1465%,Beef
159,Orion Primitivo,Primitivo,4.2,484 ratings,Red wine,Italy,€10.29,65.5868%,21.6653%,38.6786%,16.0694%,Beef
160,Taurasi Radici,Aglianico,4.2,478 ratings,Red wine,Italy,€26.37,81.6839%,49.2901%,22.3126%,34.106%,Beef
161,Cum Laude,Cabernet Sauvignon,4.2,469 ratings,Red wine,Italy,€14.90,50.5046%,42.2909%,6.30567%,44.4119%,Beef
162,Callabriga Douro,Pinot Noir,4.2,465 ratings,Red wine,Portugal,€17.99,77.5955%,54.3614%,12.6526%,41.9917%,Beef
163,Inferi Montepulciano d'Abruzzo Riserva,Montepulciano,4.2,446 ratings,Red wine,Italy,€25.40,46.2413%,42.098%,6.38153%,64.198%,Beef
164,Single Vineyard Petit Verdot,Petit Verdot,4.2,435 ratings,Red wine,Uruguay,€25.75,,,,,Beef
165,Cantine San Giorgio Perchè No?!,Zinfandel,4.2,431 ratings,Red wine,Italy,€17.82,78.3472%,39.1183%,38.8668%,22.4679%,Beef
166,Lagrein Riserva Gries,Lagrein,4.2,419 ratings,Red wine,Italy,€26.90,64.8413%,42.7982%,17.3143%,31.2882%,Beef
167,No Name,Nebbiolo,4.2,415 ratings,Red wine,Italy,€29.60,62.7328%,61.8442%,7.63001%,54.2235%,Beef
168,Collepiano Sagrantino di Montefalco,Sagrantino,4.2,410 ratings,Red wine,Italy,€23.88,57.9385%,53.8636%,8.2557%,46.1687%,Beef
169,Primitivo Salento Artas,Primitivo,4.2,408 ratings,Red wine,Italy,€24.70,69.3373%,28.5118%,39.1762%,18.3319%,Beef
170,Pillastro Primitivo Puglia,Primitivo,4.2,401 ratings,Red wine,Italy,€8.50,67.3091%,17.6502%,40.6476%,9.51443%,Beef
171,Cento X Cento Appassimento Primitivo,Primitivo,4.2,396 ratings,Red wine,Italy,€17.90,69.4961%,19.8931%,50.7095%,10.7114%,Beef
172,Galileo Colli Pesaresi Sangiovese Riserva,Sangiovese,4.2,389 ratings,Red wine,Italy,€14.80,47.9218%,36.0563%,17.5839%,47.0636%,Beef
173,Peiragal Barbera d'Alba,Barbera,4.2,375 ratings,Red wine,Italy,€17.80,53.2739%,20.7614%,6.89884%,62.3701%,Beef
174,Salènde Appassimento Primitivo,Primitivo,4.2,374 ratings,Red wine,Italy,€13.49,65.1632%,22.2692%,44.9044%,17.9891%,Beef
175,Primitivo Salento Artas,Primitivo,4.2,366 ratings,Red wine,Italy,€29,69.3373%,28.5118%,39.1762%,18.3319%,Beef
176,Pinot Noir Riserva Monticol,Pinot Nero,4.2,355 ratings,Red wine,Italy,€29,36.9783%,25.6273%,7.86733%,63.8453%,Beef
177,Varvàra Bolgheri,Cabernet Sauvignon,4.2,346 ratings,Red wine,Italy,€22,66.4236%,65.2064%,7.68974%,54.9075%,Beef
178,Fanova Primitivo,Primitivo,4.2,343 ratings,Red wine,Italy,€12.70,67.5727%,25.0683%,36.9433%,12.9654%,Beef
179,Barolo Rocche di Castelletto,Nebbiolo,4.2,336 ratings,Red wine,Italy,€29.30,60.899%,74.9406%,5.70549%,80.3474%,Beef
180,F Negroamaro,Negroamaro,4.2,333 ratings,Red wine,Italy,€22.44,,,,,Beef
181,Carapace Montefalco Sagrantino,Sagrantino,4.2,331 ratings,Red wine,Italy,€22.40,60.4445%,56.8342%,5.42688%,47.431%,Beef
182,Eremo San Quirico,Aglianico,4.2,329 ratings,Red wine,Italy,€16.99,,,,,Beef
183,Marchesa MariaBella Valpolicella Ripasso,Blend,4.2,325 ratings,Red wine,Italy,€18.80,60.5222%,42.3294%,25.6329%,31.9803%,Beef
184,Narassa,Blend,4.2,321 ratings,Red wine,France,€13.90,67.164%,51.8858%,14.2087%,58.9305%,Beef
185,Sapaio Bolgheri Volpolo,Cabernet Sauvignon,4.2,320 ratings,Red wine,Italy,€23.49,67.6307%,70.3336%,5.37224%,54.4889%,Beef
186,Il Potere,,4.2,317 ratings,Red wine,Italy,€9.99,79.577%,33.3866%,47.4151%,22.2652%,Beef
187,1 Uno Primitivo di Manduria Riserva,Primitivo,4.2,310 ratings,Red wine,Italy,€12.99,69.7324%,26.3487%,41.5545%,13.3102%,Beef
188,Pegrandi Valpolicella Ripasso Classico Superiore,Blend,4.2,309 ratings,Red wine,Italy,€15.20,67.8016%,40.3683%,29.3274%,24.8143%,Beef
189,Visellio Primitivo,Primitivo,4.2,307 ratings,Red wine,Italy,€29,68.7614%,25.1765%,42.8458%,13.3965%,Beef
190,Desire Lush & Zin Primitivo,Primitivo,4.2,304 ratings,Red wine,Italy,€15.40,67.2053%,19.5971%,45.0792%,11.9677%,Beef
191,Terre della Baronia Rosso,Blend,4.2,297 ratings,Red wine,Italy,€14.71,84.8608%,40.4018%,33.228%,29.1026%,Beef
192,Ronchedone Rosso,Blend,4.2,293 ratings,Red wine,Italy,€16.50,65.5682%,40.5242%,24.1077%,29.6164%,Beef
193,Riserva Ducale Oro Chianti Classico (Gran Selezione Gold),Sangiovese,4.2,283 ratings,Red wine,Italy,€23.40,48.1019%,54.5522%,3.55564%,64.7421%,Beef
194,Paxmentis Leggermente Appassito Syrah,Shiraz/Syrah,4.2,282 ratings,Red wine,Italy,€13.70,76.9063%,37.2174%,47.0052%,31.5971%,Beef
195,Bourbon Barrel Aged Malbec,Malbec,4.2,280 ratings,Red wine,Argentina,€14.50,67.6253%,26.8053%,24.726%,33.1035%,Beef
196,Amarone della Valpolicella,Blend,4.2,269 ratings,Red wine,Italy,€24.50,,,,,Beef
197,Coyam,Blend,4.2,266 ratings,Red wine,Chile,€18,,,,,Beef
